"Year","Country","Model","exF"
2018,"France","Lee-Carter",85.4538742984776
2019,"France","Lee-Carter",85.6001538456019
2020,"France","Lee-Carter",85.7453633369155
2021,"France","Lee-Carter",85.8895055707453
2022,"France","Lee-Carter",86.0325834592581
2023,"France","Lee-Carter",86.1746000290447
2024,"France","Lee-Carter",86.3155584214413
2025,"France","Lee-Carter",86.4554618926028
2026,"France","Lee-Carter",86.5943138133399
2027,"France","Lee-Carter",86.7321176687346
2028,"France","Lee-Carter",86.8688770575439
2029,"France","Lee-Carter",87.0045956914061
2030,"France","Lee-Carter",87.1392773938616
2031,"France","Lee-Carter",87.2729260991971
2032,"France","Lee-Carter",87.4055458511283
2033,"France","Lee-Carter",87.5371408013283
2034,"France","Lee-Carter",87.6677152078149
2035,"France","Lee-Carter",87.7972734332057
2036,"France","Lee-Carter",87.9258199428507
2037,"France","Lee-Carter",88.0533593028531
2038,"France","Lee-Carter",88.1798961779862
2039,"France","Lee-Carter",88.305435329516
2040,"France","Lee-Carter",88.429981612938
2041,"France","Lee-Carter",88.5535399756358
2042,"France","Lee-Carter",88.6761154544699
2043,"France","Lee-Carter",88.7977131733048
2044,"France","Lee-Carter",88.9183383404796
2045,"France","Lee-Carter",89.0379962462314
2046,"France","Lee-Carter",89.1566922600771
2047,"France","Lee-Carter",89.2744318281589
2048,"France","Lee-Carter",89.3912204705616
2049,"France","Lee-Carter",89.5070637786051
2050,"France","Lee-Carter",89.6219674121201
2051,"France","Lee-Carter",89.7359370967092
2052,"France","Lee-Carter",89.8489786210011
2053,"France","Lee-Carter",89.9610978339008
2054,"France","Lee-Carter",90.0723006418405
2055,"France","Lee-Carter",90.1825930060356
2056,"France","Lee-Carter",90.2919809397496
2057,"France","Lee-Carter",90.4004705055714
2058,"France","Lee-Carter",90.5080678127088
2059,"France","Lee-Carter",90.6147790143007
2060,"France","Lee-Carter",90.7206103047518
2061,"France","Lee-Carter",90.8255679170919
2062,"France","Lee-Carter",90.9296581203631
2063,"France","Lee-Carter",91.0328872170367
2064,"France","Lee-Carter",91.1352615404624
2065,"France","Lee-Carter",91.2367874523513
2066,"France","Lee-Carter",91.3374713402957
2067,"France","Lee-Carter",91.4373196153263
2068,"France","Lee-Carter",91.5363387095088
2069,"France","Lee-Carter",91.6345350735812
2070,"France","Lee-Carter",91.7319151746339
2018,"Sweden","Lee-Carter",84.2876870065133
2019,"Sweden","Lee-Carter",84.4121847580006
2020,"Sweden","Lee-Carter",84.5358052052256
2021,"Sweden","Lee-Carter",84.6585520241793
2022,"Sweden","Lee-Carter",84.7804288663874
2023,"Sweden","Lee-Carter",84.9014393623314
2024,"Sweden","Lee-Carter",85.0215871246905
2025,"Sweden","Lee-Carter",85.1408757514086
2026,"Sweden","Lee-Carter",85.259308828592
2027,"Sweden","Lee-Carter",85.3768899332423
2028,"Sweden","Lee-Carter",85.4936226358306
2029,"Sweden","Lee-Carter",85.6095105027158
2030,"Sweden","Lee-Carter",85.7245570984137
2031,"Sweden","Lee-Carter",85.8387659877211
2032,"Sweden","Lee-Carter",85.9521407376993
2033,"Sweden","Lee-Carter",86.0646849195216
2034,"Sweden","Lee-Carter",86.1764021101904
2035,"Sweden","Lee-Carter",86.2872958941275
2036,"Sweden","Lee-Carter",86.3973698646418
2037,"Sweden","Lee-Carter",86.5066276252808
2038,"Sweden","Lee-Carter",86.6150727910669
2039,"Sweden","Lee-Carter",86.7227089896265
2040,"Sweden","Lee-Carter",86.8295398622129
2041,"Sweden","Lee-Carter",86.9355690646294
2042,"Sweden","Lee-Carter",87.040800268055
2043,"Sweden","Lee-Carter",87.1452371597778
2044,"Sweden","Lee-Carter",87.2488834438393
2045,"Sweden","Lee-Carter",87.3517428415939
2046,"Sweden","Lee-Carter",87.453819092186
2047,"Sweden","Lee-Carter",87.5551159529508
2048,"Sweden","Lee-Carter",87.655637199739
2049,"Sweden","Lee-Carter",87.7553866271724
2050,"Sweden","Lee-Carter",87.8543680488306
2051,"Sweden","Lee-Carter",87.952585297374
2052,"Sweden","Lee-Carter",88.0500422246057
2053,"Sweden","Lee-Carter",88.1467427014751
2054,"Sweden","Lee-Carter",88.2426906180267
2055,"Sweden","Lee-Carter",88.3378898832969
2056,"Sweden","Lee-Carter",88.432344425161
2057,"Sweden","Lee-Carter",88.5260581901343
2058,"Sweden","Lee-Carter",88.6190351431288
2059,"Sweden","Lee-Carter",88.711279267169
2060,"Sweden","Lee-Carter",88.8027945630683
2061,"Sweden","Lee-Carter",88.8935850490698
2062,"Sweden","Lee-Carter",88.9836547604527
2063,"Sweden","Lee-Carter",89.0730077491062
2064,"Sweden","Lee-Carter",89.1616480830753
2065,"Sweden","Lee-Carter",89.2495798460776
2066,"Sweden","Lee-Carter",89.3368071369957
2067,"Sweden","Lee-Carter",89.423334069345
2068,"Sweden","Lee-Carter",89.5091647707212
2069,"Sweden","Lee-Carter",89.5943033822269
2070,"Sweden","Lee-Carter",89.6787540578806
2018,"USA","Lee-Carter",81.4719642015971
2019,"USA","Lee-Carter",81.5855695958076
2020,"USA","Lee-Carter",81.6986475489159
2021,"USA","Lee-Carter",81.8112010618163
2022,"USA","Lee-Carter",81.9232330329445
2023,"USA","Lee-Carter",82.0347462618061
2024,"USA","Lee-Carter",82.1457434524294
2025,"USA","Lee-Carter",82.2562272167439
2026,"USA","Lee-Carter",82.3662000778854
2027,"USA","Lee-Carter",82.4756644734274
2028,"USA","Lee-Carter",82.584622758541
2029,"USA","Lee-Carter",82.6930772090822
2030,"USA","Lee-Carter",82.8010300246087
2031,"USA","Lee-Carter",82.9084833313272
2032,"USA","Lee-Carter",83.0154391849704
2033,"USA","Lee-Carter",83.1218995736061
2034,"USA","Lee-Carter",83.2278664203786
2035,"USA","Lee-Carter",83.3333415861831
2036,"USA","Lee-Carter",83.4383268722741
2037,"USA","Lee-Carter",83.5428240228091
2038,"USA","Lee-Carter",83.6468347273278
2039,"USA","Lee-Carter",83.7503606231672
2040,"USA","Lee-Carter",83.8534032978158
2041,"USA","Lee-Carter",83.9559642912048
2042,"USA","Lee-Carter",84.0580450979392
2043,"USA","Lee-Carter",84.1596471694695
2044,"USA","Lee-Carter",84.2607719162037
2045,"USA","Lee-Carter",84.3614207095616
2046,"USA","Lee-Carter",84.4615948839729
2047,"USA","Lee-Carter",84.5612957388178
2048,"USA","Lee-Carter",84.6605245403135
2049,"USA","Lee-Carter",84.7592825233454
2050,"USA","Lee-Carter",84.8575708932462
2051,"USA","Lee-Carter",84.9553908275214
2052,"USA","Lee-Carter",85.0527434775233
2053,"USA","Lee-Carter",85.1496299700753
2054,"USA","Lee-Carter",85.2460514090453
2055,"USA","Lee-Carter",85.3420088768711
2056,"USA","Lee-Carter",85.437503436037
2057,"USA","Lee-Carter",85.5325361305045
2058,"USA","Lee-Carter",85.6271079870955
2059,"USA","Lee-Carter",85.7212200168312
2060,"USA","Lee-Carter",85.8148732162262
2061,"USA","Lee-Carter",85.9080685685392
2062,"USA","Lee-Carter",86.0008070449807
2063,"USA","Lee-Carter",86.0930896058792
2064,"USA","Lee-Carter",86.1849172018063
2065,"USA","Lee-Carter",86.2762907746621
2066,"USA","Lee-Carter",86.3672112587204
2067,"USA","Lee-Carter",86.4576795816363
2068,"USA","Lee-Carter",86.5476966654159
2069,"USA","Lee-Carter",86.6372634273491
2070,"USA","Lee-Carter",86.7263807809065
2018,"Japan","Lee-Carter",87.5624475344687
2019,"Japan","Lee-Carter",87.7952628572308
2020,"Japan","Lee-Carter",88.0255224808029
2021,"Japan","Lee-Carter",88.2532315981201
2022,"Japan","Lee-Carter",88.4783963044041
2023,"Japan","Lee-Carter",88.7010235836065
2024,"Japan","Lee-Carter",88.9211212926705
2025,"Japan","Lee-Carter",89.138698143825
2026,"Japan","Lee-Carter",89.3537636851163
2027,"Japan","Lee-Carter",89.5663282793741
2028,"Japan","Lee-Carter",89.7764030817942
2029,"Japan","Lee-Carter",89.9840000163184
2030,"Japan","Lee-Carter",90.1891317509743
2031,"Japan","Lee-Carter",90.391811672335
2032,"Japan","Lee-Carter",90.5920538592445
2033,"Japan","Lee-Carter",90.7898730559487
2034,"Japan","Lee-Carter",90.9852846447617
2035,"Japan","Lee-Carter",91.1783046183864
2036,"Japan","Lee-Carter",91.3689495520052
2037,"Japan","Lee-Carter",91.5572365752413
2038,"Japan","Lee-Carter",91.7431833440898
2039,"Japan","Lee-Carter",91.9268080129055
2040,"Japan","Lee-Carter",92.1081292065298
2041,"Japan","Lee-Carter",92.2871659926295
2042,"Japan","Lee-Carter",92.4639378543168
2043,"Japan","Lee-Carter",92.6384646631105
2044,"Japan","Lee-Carter",92.810766652294
2045,"Japan","Lee-Carter",92.9808643907191
2046,"Japan","Lee-Carter",93.1487787570994
2047,"Japan","Lee-Carter",93.3145309148334
2048,"Japan","Lee-Carter",93.4781422873891
2049,"Japan","Lee-Carter",93.6396345342809
2050,"Japan","Lee-Carter",93.7990295276645
2051,"Japan","Lee-Carter",93.9563493295685
2052,"Japan","Lee-Carter",94.1116161697839
2053,"Japan","Lee-Carter",94.2648524244214
2054,"Japan","Lee-Carter",94.4160805951512
2055,"Japan","Lee-Carter",94.5653232891301
2056,"Japan","Lee-Carter",94.7126031996234
2057,"Japan","Lee-Carter",94.8579430873227
2058,"Japan","Lee-Carter",95.0013657623609
2059,"Japan","Lee-Carter",95.1428940670217
2060,"Japan","Lee-Carter",95.282550859142
2061,"Japan","Lee-Carter",95.4203589961988
2062,"Japan","Lee-Carter",95.5563413200765
2063,"Japan","Lee-Carter",95.690520642505
2064,"Japan","Lee-Carter",95.8229197311587
2065,"Japan","Lee-Carter",95.9535612964066
2066,"Japan","Lee-Carter",96.0824679787013
2067,"Japan","Lee-Carter",96.2096623365946
2068,"Japan","Lee-Carter",96.335166835366
2069,"Japan","Lee-Carter",96.4590038362509
2070,"Japan","Lee-Carter",96.5811955862534
2018,"France","Li-Lee",85.4364669724101
2019,"France","Li-Lee",85.5873156829042
2020,"France","Li-Lee",85.7371115013251
2021,"France","Li-Lee",85.8858568216225
2022,"France","Li-Lee",86.0335538984131
2023,"France","Li-Lee",86.1802048708254
2024,"France","Li-Lee",86.3258117845928
2025,"France","Li-Lee",86.4703766124965
2026,"France","Li-Lee",86.6139012732507
2027,"France","Li-Lee",86.7563876489196
2028,"France","Li-Lee",86.8978376009509
2029,"France","Li-Lee",87.0382529849031
2030,"France","Li-Lee",87.1776356639459
2031,"France","Li-Lee",87.3159875212013
2032,"France","Li-Lee",87.453310470996
2033,"France","Li-Lee",87.5896064690881
2034,"France","Li-Lee",87.724877521929
2035,"France","Li-Lee",87.8591256950184
2036,"France","Li-Lee",87.9923531204083
2037,"France","Li-Lee",88.1245620034054
2038,"France","Li-Lee",88.2557546285244
2039,"France","Li-Lee",88.3859333647363
2040,"France","Li-Lee",88.5151006700572
2041,"France","Li-Lee",88.6432590955202
2042,"France","Li-Lee",88.7704112885696
2043,"France","Li-Lee",88.8965599959146
2044,"France","Li-Lee",89.0217080658802
2045,"France","Li-Lee",89.1458584502876
2046,"France","Li-Lee",89.2690142058981
2047,"France","Li-Lee",89.3911784954484
2048,"France","Li-Lee",89.5123545883099
2049,"France","Li-Lee",89.6325458607959
2050,"France","Li-Lee",89.7517557961453
2051,"France","Li-Lee",89.869987984206
2052,"France","Li-Lee",89.9872461208417
2053,"France","Li-Lee",90.1035340070843
2054,"France","Li-Lee",90.218855548052
2055,"France","Li-Lee",90.3332147516538
2056,"France","Li-Lee",90.4466157270981
2057,"France","Li-Lee",90.559062683224
2058,"France","Li-Lee",90.6705599266695
2059,"France","Li-Lee",90.7811118598959
2060,"France","Li-Lee",90.8907229790793
2061,"France","Li-Lee",90.999397871886
2062,"France","Li-Lee",91.1071412151423
2063,"France","Li-Lee",91.2139577724136
2064,"France","Li-Lee",91.3198523915017
2065,"France","Li-Lee",91.4248300018729
2066,"France","Li-Lee",91.5288956120264
2067,"France","Li-Lee",91.632054306812
2068,"France","Li-Lee",91.7343112447074
2069,"France","Li-Lee",91.8356716550608
2070,"France","Li-Lee",91.93614083531
2018,"Sweden","Li-Lee",84.7476456931107
2019,"Sweden","Li-Lee",84.9789082472164
2020,"Sweden","Li-Lee",85.1718716921084
2021,"Sweden","Li-Lee",85.344225982361
2022,"Sweden","Li-Lee",85.5052477445312
2023,"Sweden","Li-Lee",85.6598160490464
2024,"Sweden","Li-Lee",85.8105009580886
2025,"Sweden","Li-Lee",85.9586572555048
